nome,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Codmun7,IDHM,IDHM_E,IDHM_L,IDHM_R,latitude,longitude
Alta Floresta D'Oeste,466.877453580902,493.41221374045807,504.9984732824422,503.00000000000006,555.7760814249364,1100015.0,0.6409999999999999,0.526,0.763,0.657,-11.9283,-61.9953
Ariquemes,463.5428449014575,489.96033320111076,506.99980166600636,498.9710368466148,524.1491471638238,1100023.0,0.7020000000000001,0.6,0.8059999999999999,0.716,-9.905710000000001,-63.0325
Cabixi,454.45312499999994,474.15223880597017,486.2238805970148,497.44374999999985,492.8358208955224,1100031.0,0.65,0.5589999999999999,0.757,0.65,-13.4945,-60.552
Cacoal,469.1656569343055,494.6640630352856,510.1851318944841,510.68463503649656,538.6570743405276,1100049.0,0.718,0.62,0.821,0.727,-11.4343,-61.4562
Cerejeiras,468.3811643835616,488.4565359477127,507.60490196078405,505.1756849315072,552.2222222222222,1100056.0,0.6920000000000001,0.602,0.799,0.688,-13.187000000000001,-60.8168
Colorado do Oeste,468.04233576642343,495.37243816254414,506.3374558303888,506.05000000000035,533.2862190812721,1100064.0,0.685,0.584,0.8140000000000001,0.6759999999999999,-13.1174,-60.5454
Corumbiara,465.9741379310345,478.8750000000001,486.46874999999983,487.5413793103449,526.25,1100072.0,0.613,0.473,0.774,0.63,-12.9551,-60.8947
Costa Marques,430.9549382716048,458.5977900552484,477.5889502762431,467.35925925925926,456.7955801104972,1100080.0,0.611,0.493,0.7509999999999999,0.616,-12.4367,-64.22800000000001
Espigão D'Oeste,465.17767145135605,496.64985029940107,503.51152694610727,507.8586921850074,533.1736526946107,1100098.0,0.672,0.536,0.8190000000000001,0.691,-11.5266,-61.0252
Guajará-Mirim,438.77189189189244,465.40712933753946,486.31343848580406,466.3754729729731,466.3470031545741,1100106.0,0.657,0.519,0.823,0.6629999999999999,-10.7889,-65.3296
Jaru,452.8748407643307,481.7564278704614,501.1434739941121,487.5970276008494,512.4043179587832,1100114.0,0.6890000000000001,0.5770000000000001,0.825,0.687,-10.4318,-62.4788
Ji-Paraná,462.96981246218905,488.6777526821006,506.02168266516185,502.0621294615837,532.0158102766799,1100122.0,0.7140000000000001,0.617,0.81,0.728,-10.8777,-61.9322
